sales,resale,type,price,engine_s,horsepow,wheelbas,width,length,curb_wgt,fuel_cap,mpg,lnsales,partition,cluster
39.384,19.875,0.000,28.4,3.200,225.000,108.100,70.300,192.900,3.517,17.200,25.000,3.673,0.0,2
8.588,29.725,0.000,42.0,3.500,210.000,114.600,71.400,196.600,3.850,18.000,22.000,2.150,0.0,2
18.780,23.555,0.000,33.95,2.800,200.000,108.700,76.100,192.000,3.561,18.500,22.000,2.933,0.0,2
9.231,28.675,0.000,33.4,2.800,193.000,107.300,68.500,176.000,3.197,16.600,24.000,2.223,0.0,2
17.527,36.125,0.000,38.9,2.800,193.000,111.400,70.900,188.000,3.472,18.500,24.800,2.864,0.0,2
91.561,12.475,0.000,21.98,3.100,175.000,109.000,72.700,194.600,3.368,17.500,25.000,4.517,0.0,2
39.350,13.740,0.000,25.3,3.800,240.000,109.000,72.700,196.200,3.543,17.500,23.000,3.672,0.0,2
27.851,20.190,0.000,31.96,3.800,205.000,113.800,74.700,206.800,3.778,18.500,24.000,3.327,0.0,2
83.257,13.360,0.000,27.88,3.800,205.000,112.200,73.500,200.000,3.591,17.500,25.000,4.422,0.0,2
63.729,22.525,0.000,39.9,4.600,275.000,115.300,74.500,207.200,3.978,18.500,22.000,4.155,0.0,2
6.536,25.725,0.000,39.66,4.600,275.000,108.000,75.500,200.600,3.843,19.000,22.000,1.877,0.0,2
11.185,18.225,0.000,31.01,3.000,200.000,107.400,70.300,194.800,3.770,18.000,22.000,2.415,0.0,2
24.629,10.310,0.000,18.89,3.100,175.000,107.500,72.500,200.900,3.330,16.600,25.000,3.204,0.0,2
42.593,11.525,0.000,19.39,3.400,180.000,110.500,72.700,197.900,3.340,17.000,27.000,3.752,0.0,2
26.402,13.025,0.000,24.34,3.800,200.000,101.100,74.100,193.200,3.500,16.800,25.000,3.273,0.0,2
32.775,14.180,0.000,24.5,2.500,168.000,106.000,69.200,193.000,3.332,16.000,24.000,3.490,0.0,2
31.148,13.725,0.000,22.24,2.700,200.000,113.000,74.400,209.100,3.452,17.000,26.000,3.439,0.0,2
13.462,17.325,0.000,28.34,3.500,253.000,113.000,74.400,207.700,3.564,17.000,23.000,2.600,0.0,2
113.369,12.760,0.000,21.56,3.800,190.000,101.300,73.100,183.200,3.203,15.700,24.000,4.731,0.0,2
245.815,10.055,0.000,17.89,3.000,155.000,108.500,73.000,197.600,3.368,16.000,24.000,5.505,0.0,2
63.403,14.210,0.000,22.2,4.600,200.000,114.700,78.200,212.000,3.908,19.000,21.000,4.150,0.0,2
23.713,19.690,0.000,29.46,3.000,227.000,108.300,70.200,193.700,3.342,18.500,25.000,3.166,0.0,2
24.072,26.975,0.000,31.5,3.000,210.000,105.100,70.500,190.200,3.373,18.500,23.000,3.181,0.0,2
12.698,32.075,0.000,37.8,3.000,225.000,110.200,70.900,189.200,3.638,19.800,23.000,2.541,0.0,2
13.798,20.525,0.000,39.08,4.600,275.000,109.000,73.600,208.500,3.868,20.000,22.000,2.625,0.0,2
48.911,21.725,0.000,43.33,4.600,215.000,117.700,78.200,215.300,4.121,19.000,21.000,3.890,0.0,2
5.711,16.575,0.000,25.0,3.500,210.000,107.100,70.300,194.100,3.443,19.000,22.000,1.742,0.0,2
0.110,20.940,0.000,25.45,3.000,161.000,97.200,72.400,180.300,3.131,19.800,21.000,-2.207,0.0,2
67.956,11.030,0.000,19.04,3.000,153.000,108.500,73.000,199.700,3.379,16.000,24.000,4.219,0.0,2
81.174,14.875,0.000,22.6,4.600,200.000,114.700,78.200,212.000,3.958,19.000,21.000,4.397,0.0,2
27.602,41.450,0.000,49.9,3.200,221.000,111.500,70.800,189.400,3.823,21.100,25.000,3.318,0.0,2
79.853,15.125,0.000,26.25,3.000,222.000,108.300,70.300,190.500,3.294,18.500,25.000,4.380,0.0,2
1.112,11.240,0.000,18.14,3.100,150.000,107.000,69.400,192.000,3.102,15.200,25.000,0.106,0.0,2
14.690,19.890,0.000,36.23,4.000,250.000,113.800,74.400,205.400,3.967,18.500,22.000,2.687,0.0,2
19.911,17.805,0.000,25.31,3.800,200.000,101.100,74.500,193.400,3.492,16.800,25.000,2.991,0.0,2
92.364,14.010,0.000,21.66,3.800,195.000,110.500,72.700,196.500,3.396,18.000,25.000,4.526,0.0,2
35.945,13.225,0.000,23.76,3.800,205.000,112.200,72.600,202.500,3.590,17.500,24.000,3.582,0.0,2
8.982,41.250,0.000,41.43,2.700,217.000,95.200,70.100,171.000,2.778,17.000,22.000,2.195,0.0,2
63.849,18.140,0.000,25.54,3.000,210.000,107.100,71.700,191.900,3.417,18.500,26.000,4.157,0.0,2
